id_tim,Kecamatan,Desa/Kelurahan,no_bs,id_prov,id_kab,id_kec,id_kel,id_bs
1,DENPASAR TIMUR,KESIMAN KERTALANGU,003B,51,71,020,005,5171020005003B
1,DENPASAR TIMUR,KESIMAN KERTALANGU,018B,51,71,020,005,5171020005018B
1,DENPASAR TIMUR,KESIMAN KERTALANGU,027B,51,71,020,005,5171020005027B
1,DENPASAR TIMUR,KESIMAN KERTALANGU,033B,51,71,020,005,5171020005033B
1,DENPASAR TIMUR,KESIMAN KERTALANGU,044B,51,71,020,005,5171020005044B
1,DENPASAR TIMUR,KESIMAN KERTALANGU,058B,51,71,020,005,5171020005058B
2,DENPASAR TIMUR,SUMERTA,020B,51,71,020,006,5171020006020B
2,DENPASAR TIMUR,SUMERTA,021B,51,71,020,006,5171020006021B
2,DENPASAR TIMUR,SUMERTA,031B,51,71,020,006,5171020006031B
2,DENPASAR TIMUR,SUMERTA KAJA,003B,51,71,020,007,5171020007003B
2,DENPASAR TIMUR,SUMERTA KAJA,010B,51,71,020,007,5171020007010B
2,DENPASAR TIMUR,SUMERTA KAJA,011B,51,71,020,007,5171020007011B
3,DENPASAR BARAT,PEMECUTAN KLOD,007B,51,71,030,002,5171030002007B
3,DENPASAR BARAT,PEMECUTAN KLOD,019B,51,71,030,002,5171030002019B
3,DENPASAR BARAT,PEMECUTAN KLOD,027B,51,71,030,002,5171030002027B
3,DENPASAR BARAT,PEMECUTAN KLOD,028B,51,71,030,002,5171030002028B
3,DENPASAR BARAT,PEMECUTAN KLOD,032B,51,71,030,002,5171030002032B
3,DENPASAR BARAT,PEMECUTAN KLOD,074B,51,71,030,002,5171030002074B
4,DENPASAR TIMUR,PENATIH,012B,51,71,020,014,5171020014012B
4,DENPASAR TIMUR,PENATIH,019B,51,71,020,014,5171020014019B
4,DENPASAR TIMUR,PENATIH,021B,51,71,020,014,5171020014021B
4,DENPASAR TIMUR,PENATIH DANGIN PURI,024B,51,71,020,015,5171020015024B
4,DENPASAR TIMUR,PENATIH DANGIN PURI,026B,51,71,020,015,5171020015026B
4,DENPASAR TIMUR,PENATIH DANGIN PURI,029B,51,71,020,015,5171020015029B
5,DENPASAR BARAT,PADANGSAMBIAN KLOD,012B,51,71,030,001,5171030001012B
5,DENPASAR BARAT,PADANGSAMBIAN KLOD,020B,51,71,030,001,5171030001020B
5,DENPASAR BARAT,PADANGSAMBIAN KLOD,053B,51,71,030,001,5171030001053B
5,DENPASAR BARAT,PADANGSAMBIAN KLOD,079B,51,71,030,001,5171030001079B
6,DENPASAR TIMUR,SUMERTA KAJA,019B,51,71,020,007,5171020007019B
6,DENPASAR TIMUR,SUMERTA KAUH,003B,51,71,020,008,5171020008003B
6,DENPASAR TIMUR,SUMERTA KAUH,008B,51,71,020,008,5171020008008B
6,DENPASAR TIMUR,DANGIN PURI,005B,51,71,020,010,5171020010005B
6,DENPASAR TIMUR,DANGIN PURI,008B,51,71,020,010,5171020010008B
6,DENPASAR TIMUR,PENATIH,006B,51,71,020,014,5171020014006B
7,DENPASAR BARAT,PEMECUTAN KLOD,083B,51,71,030,002,5171030002083B
7,DENPASAR BARAT,PEMECUTAN KLOD,085B,51,71,030,002,5171030002085B
7,DENPASAR BARAT,DAUH PURI KAUH,004B,51,71,030,003,5171030003004B
7,DENPASAR BARAT,DAUH PURI KAUH,006B,51,71,030,003,5171030003006B
7,DENPASAR BARAT,DAUH PURI KAUH,014B,51,71,030,003,5171030003014B
7,DENPASAR BARAT,DAUH PURI KAUH,022B,51,71,030,003,5171030003022B
8,DENPASAR BARAT,DAUH PURI KAUH,055B,51,71,030,003,5171030003055B
8,DENPASAR BARAT,DAUH PURI KLOD,009B,51,71,030,004,5171030004009B
8,DENPASAR BARAT,DAUH PURI KLOD,016B,51,71,030,004,5171030004016B
8,DENPASAR BARAT,DAUH PURI KLOD,039B,51,71,030,004,5171030004039B
8,DENPASAR BARAT,DAUH PURI,004B,51,71,030,005,5171030005004B
8,DENPASAR BARAT,PEMECUTAN,003B,51,71,030,007,5171030007003B
9,DENPASAR BARAT,PEMECUTAN,014B,51,71,030,007,5171030007014B
9,DENPASAR BARAT,PEMECUTAN,024B,51,71,030,007,5171030007024B
9,DENPASAR BARAT,TEGAL HARUM,008B,51,71,030,008,5171030008008B
9,DENPASAR BARAT,TEGAL HARUM,021B,51,71,030,008,5171030008021B
10,DENPASAR BARAT,TEGAL KERTHA,013B,51,71,030,009,5171030009013B
10,DENPASAR BARAT,TEGAL KERTHA,020B,51,71,030,009,5171030009020B
10,DENPASAR BARAT,TEGAL KERTHA,032B,51,71,030,009,5171030009032B
10,DENPASAR BARAT,TEGAL KERTHA,050B,51,71,030,009,5171030009050B
11,DENPASAR BARAT,PADANGSAMBIAN,088B,51,71,030,010,5171030010088B
11,DENPASAR BARAT,PADANGSAMBIAN,123B,51,71,030,010,5171030010123B
11,DENPASAR BARAT,PADANGSAMBIAN,132B,51,71,030,010,5171030010132B
11,DENPASAR BARAT,PADANGSAMBIAN,135B,51,71,030,010,5171030010135B
11,DENPASAR BARAT,PADANGSAMBIAN,144B,51,71,030,010,5171030010144B
11,DENPASAR BARAT,PADANGSAMBIAN,147B,51,71,030,010,5171030010147B
12,DENPASAR BARAT,PADANGSAMBIAN,152B,51,71,030,010,5171030010152B
12,DENPASAR BARAT,PADANGSAMBIAN KAJA,011B,51,71,030,011,5171030011011B
12,DENPASAR BARAT,PADANGSAMBIAN KAJA,032B,51,71,030,011,5171030011032B
12,DENPASAR BARAT,PADANGSAMBIAN KAJA,039B,51,71,030,011,5171030011039B
12,DENPASAR BARAT,PADANGSAMBIAN KAJA,010B,51,71,030,011,5171030011010B
13,DENPASAR BARAT,PEMECUTAN KLOD,064B,51,71,030,002,5171030002064B
14,DENPASAR TIMUR,KESIMAN,033B,51,71,020,003,5171020003033B
15,DENPASAR TIMUR,KESIMAN PETILAN,002B,51,71,020,004,5171020004002B
